ticker;date;ALTMAN_Z_SCORE;BB_1YR_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_DPS;BEST_EV;BEST_NET_INCOME;BOOK_VAL_PER_SH;BS_ACCOUNTS_PAYABLE_AND_ACCRUALS;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_INVENTORIES;BS_LT_BORROW;BS_NET_FIX_ASSET;BS_SH_OUT;BS_ST_BORROW;BS_TOT_ASSET;CAPITAL_EXPEND;CASH_AND_MARKETABLE_SECURITIES;CASH_TO_TOT_ASSET;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;CUR_MKT_CAP;CUR_RATIO;EARN_FOR_COMMON;EARN_YLD_HIST;EBIT;EBITDA;EBITDA_TO_NET_INTEREST;EQY_DPS;FCF_TO_TOTAL_DEBT;IS_EPS;IS_INTEREST_EXPENSE;IS_INT_EXPENSE;IS_OPER_INC;IS_OPER_INC_1;LT_DEBT_TO_TOT_ASSET;NET_DEBT;NET_INCOME;OTHER_CURRENT_LIABS_DETAILED;SALES_REV_TURN;SALES_TO_TOT_ASSET;ST_CAPITAL_LEASE_OBLIGATIONS;TOTAL_EQUITY;TOT_COMMON_EQY;TOT_DEBT_TO_EBITDA;TOT_DEBT_TO_TOT_ASSET;TRAIL_12M_NET_INC;TRAIL_12M_NET_SALES;px_last;WACC;WORKING_CAPITAL;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_SP_OUTLOOK
DTE GR Equity;30/12/2011;0.7129;0.001088533;3.714;;;;;;;;;;;;;;;;;;;38308.4959;;;1.4664;;;;;;;;;;;;;;;;;;;;;;;;8.865;;;BBB+;
DTE GR Equity;31/12/2011;;;;;;;8.1674;7013;15865;24338;1084;38099;41927;4321.3192;9417;122542;-1527;4589;3.0594;5634;4107;;0.6519;-1340;;-33;7265;12.5259;0.7;0.203;-0.31;649;649;-33;-33;31.0906;42927;-1340;4810;14911;0.1217;159;39941;35294;2.3732;38.7753;557;58653;;5.3822;-8473;;
DTE GR Equity;30/03/2012;0.7856;0.000615867;3.366;;;;;;;;;;;;;;;;;;;39168.4385;;;1.6549;;;;;;;;;;;;;;;;;;;;;;;;9.064;;;BBB+;
DTE GR Equity;31/03/2012;;;;;;;8.1252;5902;15761;21617;1087;37701;40864;4321;7959;120484;-1726;6083;2.734;2973;1247;;0.7291;545;;1663;4397;8.2187;;0.2178;0.13;618;618;1663;1663;31.2913;39577;545;7243;14432;0.1198;660;39818;35109;2.2693;37.8971;622;58488;;5.2867;-5856;;
DTE GR Equity;29/06/2012;0.6802;0.000575033;3.385;;;;;;;;;;;;;;;;;;;37310.2711;;;2.0848;;;;;;;;;;;;;;;;;;;;;;;;8.634;;;BBB+;
DTE GR Equity;30/06/2012;;;;;;;7.7318;5964;15183;22811;1124;37690;40686;4321;9784;120956;-1289;5466;2.4389;3703;2414;;0.6656;482;;1420;4220;8.2422;;0.2173;0.11;592;592;1420;1420;31.1601;42008;482;7063;14379;0.1189;654;37874;33409;2.312;39.249;756;58392;;5.555;-7628;;
DTE GR Equity;28/09/2012;0.023;0.000243581;3.316;;;;;;;;;;;;;;;;;;;41367.99;;;-17.7583;;;;;;;;;;;;;;;;;;;;;;;;9.573;;;BBB+;
DTE GR Equity;30/09/2012;;;;;;;5.9727;6150;15065;23595;1129;35248;37521;4321;10367;108163;-1479;4788;2.3381;4002;2523;;0.6385;-7021;;-8753;4646;9.0565;;0.2256;-1.63;577;577;-8753;-8753;32.5879;40827;-7021;7078;14651;0.1355;641;30410;25808;2.2221;42.1725;-7334;58373;;5.7711;-8530;;
DTE GR Equity;31/12/2012;0.0985;0.000187746;3.135;;;;6.0032;6885;15019;22995;1106;35354;37407;4319;9141;107942;-1127;4759;3.7298;3415;2288;37141.7397;0.6531;1103;-13.1878;1708;4732;10.0042;;0.1904;0.2565;552;552;1708;1708;32.7528;39736;1103;4576;14707;0.1362;652;30531;25928;2.4726;41.2212;-4891;58169;8.595;5.3747;-7976;BBB+;
DTE GR Equity;29/03/2013;0.1087;0.000312403;3.22;;;;;;;;;;;;;;;;;;;35862.6292;;;-13.6581;;;;;;;;;;;;;;;;;;;;;;;;8.299;;;BBB+;
DTE GR Equity;31/03/2013;;;;;;;6.1143;6532;15862;22783;1111;35325;37135;4321;8919;108837;-1584;6236;4.1714;2952;1368;;0.6962;564;;1692;4079;7.8142;;0.1942;0.13;587;587;1692;1692;32.4568;38008;564;7332;13785;0.1267;134;31013;26420;2.5029;40.6516;-4872;57522;;4.6067;-6921;;
DTE GR Equity;28/06/2013;0.0832;0.000225062;3.5;;;;;;;;;;;;;;;;;;;39793.0051;;;-12.567;;;;;;;;;;;;;;;;;;;;;;;;8.94;;;BBB+;
DTE GR Equity;30/06/2013;;;;;;;5.4408;7177;18212;25296;1424;39563;37739;4451;10874;116204;-1557;7343;4.5119;2187;630;;0.72;530;;1525;3188;6.119;;0.135;0.12;595;595;1525;1525;34.0462;43094;530;7245;15157;0.1304;163;31250;24217;3.0302;43.4038;-4824;58300;;5.2962;-7084;;
DTE GR Equity;30/09/2013;0.6829;7.96E-05;3.45;;;;5.5736;7129;18020;25188;1342;37143;37680;4451;11169;115301;-1860;7905;4.9219;3640;1780;47849.5308;0.7154;588;6.0141;1896;4468;8.0942;;0.1256;0.14;595;595;1896;1896;32.2139;40407;588;6890;15525;0.1346;162;32015;24808;2.9339;41.9008;2785;59174;10.75;4.744;-7168;BBB+;
