ticker;date;ALTMAN_Z_SCORE;BB_1YR_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_DPS;BEST_EV;BEST_NET_INCOME;BOOK_VAL_PER_SH;BS_ACCOUNTS_PAYABLE_AND_ACCRUALS;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_INVENTORIES;BS_LT_BORROW;BS_NET_FIX_ASSET;BS_SH_OUT;BS_ST_BORROW;BS_TOT_ASSET;CAPITAL_EXPEND;CASH_AND_MARKETABLE_SECURITIES;CASH_TO_TOT_ASSET;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;CUR_MKT_CAP;CUR_RATIO;EARN_FOR_COMMON;EARN_YLD_HIST;EBIT;EBITDA;EBITDA_TO_NET_INTEREST;EQY_DPS;FCF_TO_TOTAL_DEBT;IS_EPS;IS_INTEREST_EXPENSE;IS_INT_EXPENSE;IS_OPER_INC;IS_OPER_INC_1;LT_DEBT_TO_TOT_ASSET;NET_DEBT;NET_INCOME;OTHER_CURRENT_LIABS_DETAILED;SALES_REV_TURN;SALES_TO_TOT_ASSET;ST_CAPITAL_LEASE_OBLIGATIONS;TOTAL_EQUITY;TOT_COMMON_EQY;TOT_DEBT_TO_EBITDA;TOT_DEBT_TO_TOT_ASSET;TRAIL_12M_NET_INC;TRAIL_12M_NET_SALES;px_last;WACC;WORKING_CAPITAL;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_SP_OUTLOOK
DPW GY Equity;31/12/2013;3.9171;5.08E-05;3.938;;;;8.1422;9475;14091;13852;402;4608;6800;1209.0159;1306;35461;-457;4351;9.6275;1525;1068;32038.9205;1.0173;772;6.5283;886;1233;;;0.2531;0.64;;;886;886;12.9946;1563;772;2807;14450;0.4075;19;10034;9844;1.4091;16.6775;2091;54912;26.5;7.9795;239;NR;
DPW GY Equity;31/03/2014;4.0867;0.000150839;3.914;;;;8.182;6006;13593;12652;397;4645;6648;1209;449;34827;-448;2935;7.3793;53;-395;32624.8735;1.0744;502;6.4516;735;1056;;;0.2558;0.42;;;735;735;13.3374;2159;502;6197;13569;0.3896;;10100;9892;1.2057;14.6266;2095;55078;26.97;8.2492;941;NR;
DPW GY Equity;30/06/2014;4.0554;0.000168341;3.861;;;;7.2697;6180;12863;12570;395;4674;6537;1209.6728;573;34226;-260;2032;5.4987;440;180;31947.4568;1.0233;461;6.702;639;1054;;;0.2407;0.38;;;639;639;13.6563;3215;461;5817;13695;0.4001;;8946;8794;1.2123;15.3305;2134;55168;26.41;8.8888;293;NR;
DPW GY Equity;30/09/2014;3.847;0.000200495;3.943;;;;6.9588;6414;13255;12964;366;4671;6757;1209.7;589;35392;-482;2293;6.0324;808;326;30713.5906;1.0224;468;7.1682;684;996;;;0.2241;0.38;;;684;684;13.1979;2967;468;5961;14001;0.3956;;8592;8418;1.2123;14.8621;2203;55715;25.39;8.4273;291;NR;
DPW GY Equity;31/12/2014;3.7875;0.000171772;3.886;;;;7.7509;10245;14077;13595;332;4671;7177;1209.6728;353;36979;-560;3542;8.0532;1596;1036;32756.3712;1.0355;640;6.3185;901;1234;;;0.2283;0.5288;;;901;901;12.6315;1482;640;2568;15365;0.4155;19;9580;9376;1.1576;13.5861;2071;56630;27.045;8.9411;482;NR;
DPW GY Equity;31/03/2015;3.6752;0.000116613;3.594;;;;7.5497;6850;15107;13897;340;4753;7271;1208.9228;683;38724;-565;3055;6.833;149;-416;35239.2908;1.0871;495;5.8389;711;1030;;;0.2071;0.41;;;711;711;12.274;2381;495;6364;14767;0.3813;;9404;9127;1.2601;14.0378;2064;57828;29.095;7.1276;1210;NR;
DPW GY Equity;30/06/2015;3.9595;0.000228466;3.667;;;;8.7435;6932;13655;13391;343;4725;7207;1211.1851;553;37063;-407;1992;4.8917;230;-177;31739.1045;1.0197;326;6.0631;540;866;;;0.1457;0.27;;;540;540;12.7486;3286;326;5906;14700;0.3966;;10887;10590;1.2792;14.2406;1929;58833;26.205;8.2543;264;NR;
DPW GY Equity;30/09/2015;3.8845;0.000390202;3.719;;;;8.3669;6563;13184;13217;371;4655;7379;1211.2;674;36294;-472;2268;5.7117;784;312;30007.1098;0.9975;49;5.0407;194;834;;;0.1417;0.04;;;194;194;12.8258;3061;49;5980;14424;0.3974;;10346;10134;1.3443;14.6829;1510;59256;24.775;8.7661;-33;NR;
DPW GY Equity;31/12/2015;3.7799;0.000428512;3.667;;;;9.1101;10594;14143;13841;281;4608;7795;1211.1851;445;37870;-660;3864;9.5273;2252;1592;31477.0213;1.0218;670;4.9029;951;1331;;;0.2594;0.5525;;;951;951;12.1679;1189;670;2404;15339;0.405;26;11295;11034;1.2443;13.343;1540;59230;25.955;8.2887;302;NR;
DPW GY Equity;31/03/2016;3.7963;0.000873567;3.871;;;;8.5115;6374;13658;13264;303;4598;7790;1211.1851;553;36962;-577;2922;7.3914;-217;-794;29615.4444;1.0297;639;5.7025;872;1198;;;0.1811;0.53;;;872;872;12.4398;2229;639;6337;13872;0.3753;;10592;10309;1.218;13.9359;1684;58335;24.42;8.2017;394;NR;
DPW GY Equity;30/06/2016;3.7885;0.000726122;3.862;;;;7.5916;6569;13302;13735;261;5089;7898;1205.2723;1350;36353;-439;2643;5.6997;-188;-627;30531.0734;0.9685;541;6.2465;754;1081;;;0.075;0.45;;;754;754;13.9988;3796;541;5816;14190;0.3903;;9468;9150;1.4489;17.7124;1899;57825;25.175;7.724;-433;NR;
DPW GY Equity;30/09/2016;3.8055;0.000461581;3.679;;;;6.8916;6477;13071;14075;278;5149;8006;1194.2108;1787;36284;-405;2645;6.1267;891;486;33738.8069;0.9287;618;7.342;756;1092;;;0.0947;0.51;;;756;756;14.1908;4291;618;5811;13862;0.382;;8466;8230;1.4751;19.1159;2468;57263;27.82;7.4309;-1004;NR;
DPW GY Equity;30/12/2016;3.8985;0.000149038;3.833;;;;;;;;;;;;;;;;;;;38760.0079;;;7.0398;;;;;;;;;;;;;;;;;;;;;;;;31.235;;;NR;
DPW GY Equity;31/12/2016;;;;;;;9.1528;10829;14129;14818;275;4548;8389;1211.3287;1366;38295;-545;3419;8.1133;1865;1320;;0.9535;841;;1105;1493;;;0.0651;0.7089;;;1105;1105;11.8762;2495;841;2243;15410;0.4024;28;11350;11087;1.2159;15.4433;2639;57334;;7.3446;-689;;
DPW GY Equity;31/03/2017;4.0354;2.87E-05;3.833;;;;9.7115;6933;14205;14257;283;4586;8289;1206.7155;1273;38355;-535;2827;6.9665;81;-454;39840.3847;0.9964;633;6.8179;886;1233;;;0.1237;0.52;;;886;886;11.9567;3032;633;6051;14883;0.388;;12021;11719;1.196;15.2757;2633;58345;32.105;7.8176;-52;NR;
DPW GY Equity;30/06/2017;4.268;1.06E-05;3.839;;;;9.2745;6976;12948;13766;343;4553;8121;1209.1266;1181;36590;-334;1841;4.5176;677;343;39831.6693;0.9406;602;6.8217;835;1209;;;0.2956;0.5;;;835;835;12.4433;3893;602;5609;14813;0.4048;;11530;11214;1.1406;15.6709;2694;58968;32.82;8.3505;-818;NR;
DPW GY Equity;29/09/2017;4.4308;4.13E-06;3.968;;;;;;;;;;;;;;;;;;;45711.7557;;;5.9973;;;;;;;;;;;;;;;;;;;;;;;;37.665;;;NR;
DPW GY Equity;30/09/2017;;;;;;;9.2232;6877;13265;13622;360;4551;8090;1209.1266;719;36518;-420;1734;4.2007;926;506;;0.9738;641;;792;1152;;;0.3254;0.53;;;792;792;12.4623;3536;641;6026;14639;0.4009;;11384;11152;1.036;14.4312;2717;59745;;8.5852;-357;;
DPW GY Equity;29/12/2017;4.3348;4.07E-06;4.067;;;;;;;;;;;;;;;;;;;48841.1249;;;5.6328;;;;;;;;;;;;;;;;;;;;;;;;39.75;;;NR;
DPW GY Equity;31/12/2017;;;;;;;10.3227;11066;14756;14399;327;5142;8782;1224.194;864;38672;-914;3711;8.1066;1505;591;;1.0248;837;;1233;1623;;;0.1642;0.689;;;1233;1233;13.2964;2295;837;2178;16109;0.4166;22;12903;12637;1.1512;15.5306;2713;60444;;8.3046;357;;
DPW GY Equity;30/03/2018;3.1305;3.58E-05;4.097;;;;;;;;;;;;;;;;;;;43834.7578;;;6.2192;;;;;;;;;;;;;;;;;;;;;;;;35.52;;;NR;
DPW GY Equity;31/03/2018;;;;;;;10.4796;7014;14732;15491;388;12561;17731;1228.2885;2545;47599;-557;2484;5.0484;273;-284;;0.951;600;;906;1675;;;0.0765;0.49;;;906;906;26.3892;12622;600;5932;14749;0.3099;;13164;12872;2.6694;31.736;2680;60310;;6.9237;-759;;
DPW GY Equity;29/06/2018;2.8951;7.97E-06;4.138;;44996.404;955;;;;;;;;;;;;;;;;34517.4036;;;7.6119;;;;;;;;;;;;;;;;;;;;;;;;27.97;;;NR;
DPW GY Equity;30/06/2018;;;;;;;9.8363;7248;13776;15682;467;12762;18190;1230.4445;2966;47392;-508;2156;4.2433;1238;730;;0.8785;516;;692;1499;;;0.0981;0.42;;;692;692;26.9286;13572;516;5468;15026;0.3171;2966;12433;12103;2.6438;33.187;2594;60523;;7.0099;-1906;;
DPW GY Equity;28/09/2018;2.8909;0.000388711;4.167;;50541.123;;;;;;;;;;;;;;;;;37973.1226;;;5.5977;;;;;;;;;;;;;;;;;;;;;;;;30.71;;;NR;
DPW GY Equity;30/09/2018;;;;;;;10.2468;7305;14075;15656;588;13396;18726;1232.8781;2718;48310;-733;2378;4.6119;1323;590;;0.899;146;;374;1212;;;0.101;0.12;;;374;374;27.7292;13736;146;5633;14849;0.3074;;12878;12633;2.6816;33.3554;2099;60733;;7.1777;-1581;;
DPW GY Equity;31/12/2018;2.68;5.73E-05;4.276;;42227.877;931;11.023;11254;15666;16466;454;13868;19202;1232.8781;2556;50470;-851;3117;5.9778;2488;1637;29564.8766;0.9514;813;7.0561;1233;2111;;;0.1627;0.6571;;;1233;1233;27.4777;13307;813;2551;16926;0.3354;;13873;13590;2.5279;32.5421;2075;61550;23.91;6.7728;-800;NR;
DPW GY Equity;29/03/2019;2.8243;2.95E-05;4.483;;46239.333;884;;;;;;;;;;;;;;;;35858.696;;;6.197;;;;;;;;;;;;;;;;;;;;;;;;29;;;NR;
DPW GY Equity;31/03/2019;;;;;;;11.4561;7349;16278;16049;524;14017;19298;1232.8831;2614;51238;-634;3069;5.7789;147;-487;;1.0143;746;;1159;2042;;;0.1485;0.6;101;101;1159;1159;27.3566;13562;746;6086;15353;0.2996;;14442;14124;2.4229;32.4583;2221;62154;;7.3589;229;;
DPW GY Equity;28/06/2019;2.7622;2.00E-05;4.233;;48548.045;990;;;;;;;;;;;;;;;;35735.0453;;;6.08;;;;;;;;;;;;;;;;;;;;;;;;28.9;;;NR;
DPW GY Equity;30/06/2019;;;;;;;9.8419;7142;14614;16235;541;13901;20036;1233.5069;3342;50139;-1229;2362;4.4277;969;-260;;0.9002;458;;730;1499;;;0.0858;0.38;103;103;730;730;27.7249;14881;458;5751;15480;0.3087;3342;12474;12140;2.5121;34.3904;2163;62608;;7.0044;-1621;;
DPW GY Equity;30/09/2019;2.7935;2.64E-05;4.129;;51642.75;966;9.8946;7094;14499;16481;507;13859;20814;1235.5238;3360;50912;-816;2370;4.3801;1757;941;37892.7496;0.8797;561;6.8107;937;1854;;;0.1063;0.45;106;106;937;937;27.2215;14849;561;6027;15552;0.3055;;12471;12225;2.294;33.8211;2578;63311;30.645;6.9377;-1982;NR;
DPW GY Equity;31/12/2019;;8.42E-06;4.286;;53009.09;811;;;;;;;;;;;;;;;;42053.5949;;;6.1368;;;;;;;;;;;;;;;;;;;;;;;;34.01;;;NR;
DTE GR Equity;31/12/1999;;0.00036274;;;;;11.4493;;12042;20683;1046;33414;59036;3029.605;8924;94623;-5974;2928;0.9279;2548;-3426;196174.5465;0.5822;1;;1561;4039;;;;;3049;3049;1561;1561;35.3128;39410;1;8906;9894;0.1046;;35675;34687;2.7647;44.7439;1253;35470;71.5;;-8641;AA-;
DTE GR Equity;31/03/2000;;0.000690822;;;;;12.4468;;18141;18554;;45214;;3029.605;;101477;;;;1028;;251925.75;0.9777;1960;;3097;5648;;;;0.65;;;3097;3097;44.5559;;1960;18554;9539;0.094;;37709;37709;2.6463;44.5559;2678;36746;83;;-413;A-;
DTE GR Equity;30/06/2000;;0.002886306;;;;;12.6558;;20003;21472;;49946;;3029.605;;109760;;;;3361;;179804.6593;0.9316;2387;;3135;5516;;;;0.7936;;;3135;3135;45.5047;;2387;21472;9674;0.0881;;38342;38342;2.6297;45.5047;4649;37925;59.46;6.3535;-1469;A-;
DTE GR Equity;29/09/2000;;0.0074629;;;;;;;;;;;;;;;;;;;;117450.6049;;;;;;;;;;;;;;;;;;;;;;;;;;;38.84;;;A-;
DTE GR Equity;30/09/2000;;;;;;;14.4019;;18365;20395;;62116;;3029.605;;126143;;;;2583;;;0.9005;4098;;3543;6569;;;;1.3466;;;3543;3543;49.2425;;4098;20395;10009;0.0793;;43632;43632;2.853;49.2425;8446;39116;;7.1805;-2030;;
DTE GR Equity;29/12/2000;;0.012920636;;;;;;;;;;;;;;;;;;;;96220.0991;;;6.1652;;;;;;;;;;;;;;;;;;;;;;;;31.76;;;A-;
DTE GR Equity;31/12/2000;;;;;;;12.6907;;17636;23921;1587;45145;54137;3026.9332;15212;124242;;4263;1.5236;3028;;;0.7373;-2519;;-10114;-5081;;;;-0.8322;;;-10114;-10114;36.3363;56094;-2519;8709;11717;0.0943;;42716;38414;4.7706;48.5802;5926;40939;;7.3917;-6285;;
DTE GR Equity;30/03/2001;;0.012059408;3.778;;;;;;;;;;;;;;;;;;;79981.4426;;;4.5072;;;;;;;;;;;;;;;;;;;;;;;;26.4;;;A-;
DTE GR Equity;31/03/2001;;;;;;;14.0898;;20464;;;;;3030;;126243;;;;1650;;;;-358;;1041;3622;;;;-0.1182;;;1041;1041;;;-358;;11082;0.0878;;42692;42692;;;3608;42482;;8.0996;;;
DTE GR Equity;29/06/2001;;0.004793678;3.744;;;;;;;;;;;;;;;;;;;113003.4826;;;1.4785;;;;;;;;;;;;;;;;;;;;;;;;26.92;;;A-;
DTE GR Equity;30/06/2001;;;;;;;16.788;;22344;;;;;4198;;177027;;;;3069;;;;9;;1485;4573;;;;0.0017;;;1485;1485;;;9;;11386;0.0643;;70476;70476;;;1230;44194;;8.7989;;;
DTE GR Equity;28/09/2001;;0.008522372;3.556;;;;;;;;;;;;;;;;;;;72201.3336;;;-6.4224;;;;;;;;;;;;;;;;;;;;;;;;17.2;;;A-;
DTE GR Equity;30/09/2001;;;;;;;15.8926;;18184;;;;;4198;;165646;;;;2440;;;;-655;;2162;5885;;;;-0.156;;;2162;2162;;;-655;;12525;0.0756;;66717;66717;;;-3523;46710;;10.1747;;;
DTE GR Equity;31/12/2001;0.8783;0.006053473;3.617;;;;14.5394;;17846;28901;1671;53679;58708;4195.0812;13352;164562;;3570;1.7428;4775;;81016.6127;0.6175;-2450;-7.014;-6256;-427;;;;-1.0812;;;-6256;-6256;32.6193;63461;-2450;15549;13316;0.0809;;66301;60994;4.9096;40.733;-3454;48309;19.3;7.3877;-11055;A-;
DTE GR Equity;29/03/2002;0.7677;0.005618426;3.694;;;;;;;;;;;;;;;;;;;72495.1762;;;-9.6442;;;;;;;;;;;;;;;;;;;;;;;;17.27;;;BBB+;
DTE GR Equity;31/03/2002;;;;;;;14.2393;;17200;26973;1754;70619;57939;4197.752;0;164426;-1770;2363;1.0363;2263;493;;0.6377;-1808;;72;3726;3.3811;;;-0.43;;;72;72;42.9488;68256;-1808;26973;12770;0.0777;;63147;59773;5.1333;42.9488;-4904;49997;;7.3109;-9773;;
DTE GR Equity;28/06/2002;;0.012157929;3.509;;;;;;;;;;;;;;;;;;;39853.27;;;-22.8129;;;;;;;;;;;;;;;;;;;;;;;;9.5;;;BBB+;
DTE GR Equity;30/06/2002;;;;;;;12.3566;;15812;26240;1624;66910;55877;4197.752;0;152105;-1669;2383;1.1873;4382;2713;;0.6026;-2083;;-451;3569;3.6381;;;-0.5;;;-451;-451;43.9893;64527;-2083;26240;12984;0.0854;;55200;51870;5.2466;43.9893;-6996;51595;;7.6785;-10428;;
DTE GR Equity;30/09/2002;-0.7672;0.01758129;3.377;;;;23.12;;13793;77206;1578;66544;55504;4197.752;66544;129820;-4889;2327;1.4381;10139;5250;35322.5825;0.1787;-20619;-82.3183;-21656;11697;12.3386;;;-4.92;;;-21656;-21656;51.2587;130761;-20619;10662;13423;0.1034;;100438;97052;7.1688;102.5173;-26960;52493;8.42;5.4647;-63413;BBB+;
DTE GR Equity;31/12/2002;-1.4648;0.035567416;3.382;;;;7.4852;;13566;29580;1556;52804;53955;4197.752;9876;125450;-1895;1947;1.3647;2324;429;51389.7429;0.4586;-77;-47.9184;667;4329;;;0.1418;-0.02;;;667;667;42.0917;60733;-77;15897;14512;0.1157;;35409;31421;2.6877;49.9641;-24587;53689;12.25;7.4029;-16014;BBB+;
DTE GR Equity;31/03/2003;-0.4913;0.016108369;3.755;;;;7.4547;;20533;23415;1512;62816;50354;4197.752;0;125529;-1048;7183;4.5862;3117;2069;42412.2695;0.8769;853;-51.8299;1586;4855;4.5932;;0.1665;0.2;;;1586;1586;50.041;55633;853;23415;13618;0.1085;;35330;31293;2.5692;50.041;-21926;54537;10.11;7.0089;-2882;BBB+;
DTE GR Equity;30/06/2003;;0.007296798;3.8;;;;7.3675;;20827;21890;1348;61248;48822;4197.752;0;122330;-959;8634;2.66;3143;2184;55752.6272;0.9514;256;-35.2144;1451;4663;5.3414;;0.1622;0.06;;;1451;1451;50.0678;52614;256;21890;13593;0.1111;;34943;30927;2.3977;50.0678;-19587;55146;13.29;5.9198;-1063;BBB+;
DTE GR Equity;30/09/2003;0.8276;0.002483606;4.043;;;;7.3775;;22445;22196;1308;59580;47831;4197.752;0;121198;-1159;10822;6.0546;4784;3625;52286.6867;1.0112;508;2.8939;1480;4645;5.2309;;0.1394;0.12;;;1480;1480;49.1592;48758;508;22196;14077;0.1161;;35124;30969;3.2219;49.1592;1540;55800;12.44;6.865;249;BBB+;
DTE GR Equity;31/12/2003;0.7521;0.000619912;4.213;;;;7.0874;;18615;32694;1432;42310;47268;4197.752;13105;116072;-2021;9293;7.4833;3272;1251;60870.6332;0.5694;-364;1.9986;912;4150;;;0.1647;-0.09;;;912;912;36.4515;46122;-364;15446;14550;0.1254;;33804;29751;3.026;47.7419;1253;55838;14.51;7.0332;-14079;BBB+;
DTE GR Equity;31/03/2004;0.9151;0.000426473;4.111;;;;9.83;;21500;29210;1078;45836;48521;4197.752;16797;140163;-1229;9013;6.4304;4304;3075;61455.0886;0.736;632;1.6393;2440;4630;4.0052;;0.1618;0.15;1249;1249;2440;2440;32.7019;53620;632;12413;13890;0.0991;;45670;41264;3.4627;44.6858;1032;56110;14.64;5.686;-7710;BBB+;
DTE GR Equity;30/06/2004;;0.000218966;4.175;;;;9.9687;;19516;29132;1210;41385;47891;4197.752;16785;132207;-1344;6305;4.769;2900;1556;60615.5382;0.6699;577;2.2161;2662;4998;5.5844;;0.1634;0.14;988;988;2662;2662;31.3032;51865;577;12347;14377;0.1087;;46262;41846;3.1575;43.9992;1353;56894;14.44;5.8785;-9616;BBB+;
DTE GR Equity;30/09/2004;1.12;0.000145335;4.357;;;;9.5784;;18108;28307;1395;38195;46844;4195.0811;16027;126560;-1262;5812;4.5923;3919;2657;62630.4591;0.6397;-1359;-0.7373;2824;5193;6.2793;;0.1575;-0.31;904;904;2824;2824;30.1794;48410;-1359;12280;14353;0.1134;;44676;40182;2.8582;42.8429;-514;57170;14.92;5.4983;-10199;BBB+;
DTE GR Equity;31/12/2004;1.1571;5.43E-05;4.317;;;;9.8683;;18745;32358;1154;38498;46294;4196.8788;12592;125290;-1531;8005;6.3892;5597;4066;69892.57;0.5793;3632;4.9249;2616;6414;15.9552;;0.2222;0.84;516;516;2616;2616;30.7271;43085;3632;13676;14733;0.1176;;45803;41416;2.4059;40.7774;3482;57353;16.65;5.9219;-13613;BBB+;
DTE GR Equity;31/03/2005;1.2636;1.25E-05;4.225;;;;10.3572;;19207;24977;1082;41396;48203;4197.854;12332;132588;-2468;6260;4.7214;2176;-292;64688.9302;0.769;1010;5.9053;2412;4970;5.4198;;0.1487;0.24;1069;1069;2412;2412;31.2215;47468;1010;12645;14376;0.1084;;47020;43478;2.4903;40.5225;3860;57839;15.41;6.1524;-5770;A-;
DTE GR Equity;30/06/2005;;8.66E-06;4.098;;;;10.3218;;15759;24547;903;40548;48376;4197.8999;11548;127465;-1415;5180;3.0675;3639;2224;64269.1448;0.642;1169;6.8583;2572;5182;11.1681;;0.1661;0.28;500;500;2572;2572;31.8111;46916;1169;7512;14743;0.1157;;46811;43330;2.3942;40.8708;4452;58205;15.31;6.4227;-8788;A-;
DTE GR Equity;30/09/2005;1.3836;5.36E-06;3.829;;;;10.6239;;15230;24154;1100;35863;47859;4195.1832;11340;124662;-1423;3371;2.7041;4267;2844;63597.4882;0.6305;2442;12.7393;2790;5380;7.9822;;0.1873;0.57;734;734;2790;2790;28.7682;43832;2442;12814;15056;0.1208;;48114;44569;2.1509;37.8648;8253;58908;15.15;6.779;-8924;A-;
DTE GR Equity;30/12/2005;1.2548;4.03E-06;3.744;;;;;;;;;;;;;;;;;;;59105.7844;;;9.375;;;;;;;;;;;;;;;;;;;;;;;;14.08;;;A-;
DTE GR Equity;31/12/2005;;;;;;;10.7402;;16668;24958;1097;36347;47806;4198.078;10374;128468;-2095;4975;3.8726;4916;2821;;0.6678;994;;3853;4738;8.5216;;0.1626;0.23;759;759;3853;3853;28.2926;41746;994;7695;15517;0.1208;200;48599;45088;2.3049;36.3678;5615;59692;;6.6674;-8290;;
DTE GR Equity;31/03/2006;1.3886;7.47E-06;3.837;;;;10.8643;;21025;24469;1094;38819;46837;4196.2188;10581;130928;-1816;9796;6.3722;2880;1064;58436.16;0.8593;1090;9.6264;2318;4888;7.4286;;0.1812;0.26;731;731;2318;2318;29.6491;39604;1090;8164;14842;0.1134;;49153;45589;2.447;37.7307;5695;60158;13.92;6.7796;-3444;A-;
DTE GR Equity;30/06/2006;;2.44E-05;3.659;;;;10.2953;;18659;23049;1289;37166;45821;4421.9385;10517;126839;-1670;7306;4.4679;2898;1228;52768.86;0.8095;1018;10.3421;2085;4749;7.8887;;0.1669;0.24;696;696;2085;2085;29.3017;40377;1018;6680;15130;0.1193;;48373;45525;2.4137;37.5933;5544;60545;12.57;6.4956;-4390;A-;
DTE GR Equity;29/09/2006;1.469;2.63E-05;2.927;;;;;;;;;;;;;;;;;;;55430.4624;;;9.4174;;;;;;;;;;;;;;;;;;;;;;;;12.53;;;A-;
DTE GR Equity;30/09/2006;;;;;;;10.9413;;15736;19205;1239;37579;45320;4397.1187;6569;124440;-1628;4218;1.5397;3563;1935;;0.8194;1955;;1989;4741;7.2826;;0.1596;0.45;730;730;1989;1989;30.1985;39930;1955;6823;15480;0.1244;;51096;48110;2.3095;35.4773;5057;60969;;6.6822;-3469;;
DTE GR Equity;29/12/2006;1.5191;1.75E-05;2.75;;;;;;;;;;;;;;;;;;;61102.11;;;5.3996;;;;;;;;;;;;;;;;;;;;;;;;13.89;;;A-;
DTE GR Equity;31/12/2006;;;;;;;10.6785;;15951;22088;1129;38799;45869;4361.119;7683;130160;-2064;2765;2.1243;4954;2890;;0.7222;-864;;-1167;1871;2.9746;;0.1531;-0.2;680;680;-1167;-1167;29.8087;43717;-864;7284;15895;0.1221;213;49670;46570;2.8606;35.7114;3199;61347;;6.8652;-6137;;
DTE GR Equity;30/03/2007;1.1591;6.01E-05;2.818;;;;;;;;;;;;;;;;;;;53991.3562;;;4.8465;;;;;;;;;;;;;;;;;;;;;;;;12.38;;;A-;
DTE GR Equity;31/03/2007;;;;;;;10.7174;;17332;21112;1222;38770;45009;4361.1191;7939;129435;-1824;5606;3.0772;2177;353;;0.821;459;;1795;4543;6.9043;;0.1371;0.11;705;705;1795;1795;29.9533;41103;459;7306;15453;0.1194;;49994;46740;2.9369;36.0868;2568;61958;;6.284;-3780;;
DTE GR Equity;29/06/2007;;5.00E-05;2.83;;;;;;;;;;;;;;;;;;;59486.4576;;;3.6657;;;;;;;;;;;;;;;;;;;;;;;;13.64;;;A-;
DTE GR Equity;30/06/2007;;;;;;;10.1131;;15241;22024;1138;36106;43961;4361.1899;9517;124508;-1343;3620;1.7236;3150;1807;;0.692;604;;2043;4813;7.0263;;0.1531;0.14;754;754;2043;2043;28.9989;42003;604;6948;15575;0.1251;;47212;44105;2.8572;36.6426;2154;62403;;6.9303;-6783;;
DTE GR Equity;28/09/2007;1.2335;4.50E-05;3.063;;;;;;;;;;;;;;;;;;;60053.7267;;;0.7988;;;;;;;;;;;;;;;;;;;;;;;;13.77;;;A-;
DTE GR Equity;30/09/2007;;;;;;;9.873;;16105;21128;1149;34888;42621;4361;8239;120749;-1364;4935;2.8572;5137;3773;;0.7623;259;;1911;4920;8.1188;;0.2046;0.06;674;674;1911;1911;28.893;38192;259;7023;15693;0.13;;46122;43056;2.6709;35.7162;458;62616;;6.7211;-5023;;
DTE GR Equity;31/12/2007;1.2606;2.36E-05;3.467;;;;9.66;;15945;23215;1463;33831;42531;4361.298;9075;120673;-2138;4219;1.8231;3250;1112;65549.6169;0.6868;-751;0.8649;-567;2190;3.8761;;0.1642;-0.18;642;642;-567;-567;28.0353;38687;-751;7317;15795;0.1309;162;45245;42130;2.6057;35.5556;571;62516;15.03;6.9563;-7270;A-;
DTE GR Equity;31/03/2008;1.1999;0.000351578;3.571;;;;9.4618;;15948;21545;1243;34141;41298;4359.4385;8366;118369;-1571;4711;1.9186;3331;1760;46229.9901;0.7402;924;2.1698;2298;4955;8.6626;;0.1988;0.21;643;643;2298;2298;28.8429;37796;924;7429;14978;0.1265;;44537;41248;2.5185;35.9106;1036;62041;10.6;6.0698;-5597;BBB+;
DTE GR Equity;30/06/2008;;0.000413548;3.711;;;;8.9409;;15564;25023;1233;35041;41005;4361.3198;11460;120126;-1490;4372;1.6266;3682;2192;45444.9526;0.622;394;1.7274;1868;4566;5.9299;;0.19;0.09;857;857;1868;1868;29.1702;42129;394;7621;15125;0.1259;;42105;38994;2.796;38.7102;826;61591;10.42;6.2583;-9459;BBB+;
DTE GR Equity;30/09/2008;1.0889;0.000991083;3.935;;;;9.5389;;16286;22724;1308;37179;41502;4361.3198;9396;123385;-1700;5395;2.5214;4285;2585;46992.9791;0.7167;895;3.0626;2313;4894;8.8022;;0.1642;0.21;637;637;2313;2313;30.1325;41180;895;7293;15454;0.1253;;44815;41602;2.8049;37.7477;1462;61352;10.775;7.422;-6438;BBB+;
DTE GR Equity;31/12/2008;0.8385;0.003523658;3.512;;;;9.1708;;15431;24242;1294;37010;41559;4361.32;9584;123140;-2147;4718;2.4574;4070;1923;46884.1881;0.6365;-730;3.1628;1020;4059;6.8913;;0.1816;-0.17;758;758;1020;1020;30.0552;41876;-730;7585;16109;0.1308;3977;43112;39997;2.5221;37.8382;1483;61666;10.75;6.4549;-8811;BBB+;
DTE GR Equity;31/03/2009;0.8953;0.005294123;3.553;;;;8.9633;7624;18741;25279;1543;42655;48231;4359.4385;9827;133764;-2328;5922;3.0748;2801;473;40865.5668;0.7414;-1124;-1.3874;244;4942;7.8196;;0.1367;-0.26;732;732;244;244;31.8883;46560;-1124;7828;15902;0.1189;128;45158;39075;2.8429;39.2348;-565;62590;9.37;5.3907;-6538;BBB+;
DTE GR Equity;30/06/2009;0.791;0.007815784;3.375;;;;8.2567;7481;20096;28819;1517;42819;47671;4361.32;14047;132902;-1826;7773;4.3912;3512;1686;36504.2469;0.6973;521;-1.1947;2012;5027;7.9165;;0.1172;0.12;726;726;2012;2012;32.2185;49093;521;7291;16238;0.1222;128;41467;36010;3.0053;42.7879;-438;63703;8.37;4.7101;-8723;BBB+;
